maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex.1,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,16,18,18,18,11,2,91,0.0,1014,14,10,109,8
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,16,17,17,17,9,2,93,0.0,1014,14,7,85,6
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,15,16,16,16,7,2,94,0.0,1014,13,5,61,4
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,15,15,15,15,5,2,96,0.0,1014,12,2,37,3
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,15,18,18,18,5,1,88,0.0,1015,14,5,45,3
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,16,20,22,20,5,1,80,0.0,1016,16,7,53,3
27,12,0.0,11.6,5,5,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,17,23,25,23,4,0,72,0.0,1016,18,10,61,4
27,12,0.0,11.6,5,6,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,16,24,26,24,6,0,61,0.0,1016,21,10,65,5
27,12,0.0,11.6,5,6,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,14,27,27,26,7,0,49,0.0,1015,23,10,70,6
27,12,0.0,11.6,5,7,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,12,28,28,28,8,0,37,0.0,1014,25,10,75,7
27,12,0.0,11.6,5,7,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,11,28,28,28,9,1,35,0.0,1013,26,10,89,7
27,12,0.0,11.6,5,7,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,11,28,28,29,9,2,32,0.0,1012,27,10,102,8
27,12,0.0,11.6,5,7,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,10,28,28,29,9,3,30,0.0,1011,27,10,116,8
27,12,0.0,11.6,5,7,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,11,27,27,28,8,2,37,0.0,1011,25,10,107,7
27,12,0.0,11.6,5,6,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,13,26,26,26,7,1,44,0.0,1011,23,10,98,5
27,12,0.0,11.6,5,6,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,14,25,26,25,6,0,51,0.0,1011,21,10,88,4
27,12,0.0,11.6,5,6,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,14,23,23,23,10,2,57,0.0,1012,20,10,90,5
27,12,0.0,11.6,5,5,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,13,21,21,21,14,3,62,0.0,1014,19,10,91,7
27,12,0.0,11.6,5,5,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,12,18,18,18,17,5,67,0.0,1015,17,10,92,8
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,13,18,18,18,20,7,73,0.0,1015,17,10,94,9
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,13,17,17,17,22,9,79,0.0,1015,17,10,96,10
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,14,17,17,17,24,11,85,0.0,1015,16,10,98,12
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,14,16,16,16,22,41,89,0.0,1015,16,7,99,11
27,12,0.0,11.6,5,1,31,09:58 AM,10:03 PM,06:42 AM,06:05 PM,15,16,16,16,21,70,94,0.0,1015,16,3,100,11
27,16,0.0,11.6,5,1,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,16,16,16,19,100,98,0.0,1015,16,0,101,10
27,16,0.0,11.6,5,1,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,16,16,16,14,96,98,0.0,1015,16,1,91,8
27,16,0.0,11.6,5,1,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,17,17,17,9,92,97,0.0,1014,16,1,81,6
27,16,0.0,11.6,5,1,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,17,17,17,4,89,96,0.0,1014,17,2,71,3
27,16,0.0,11.6,5,1,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,18,18,18,5,71,92,0.0,1015,17,5,86,4
27,16,0.0,11.6,5,1,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,18,18,18,5,54,89,0.0,1016,17,7,101,4
27,16,0.0,11.6,5,5,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,16,18,18,18,6,36,85,0.0,1016,18,10,116,5
27,16,0.0,11.6,5,6,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,15,21,21,21,6,26,71,0.0,1016,20,10,105,5
27,16,0.0,11.6,5,6,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,14,24,24,24,7,16,57,0.0,1016,23,10,94,6
27,16,0.0,11.6,5,7,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,13,27,27,27,7,7,43,0.0,1015,26,10,83,6
27,16,0.0,11.6,5,7,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,13,27,27,27,8,6,40,0.0,1014,26,10,94,7
27,16,0.0,11.6,5,7,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,12,27,27,28,8,6,38,0.0,1013,27,10,106,7
27,16,0.0,11.6,5,7,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,11,28,28,28,9,5,35,0.0,1012,27,10,117,8
27,16,0.0,11.6,5,7,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,12,27,27,27,10,5,40,0.0,1012,26,10,111,8
27,16,0.0,11.6,5,6,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,13,26,26,26,11,5,46,0.0,1012,25,10,105,8
27,16,0.0,11.6,5,6,38,10:34 AM,10:51 PM,06:42 AM,06:05 PM,14,25,25,24,13,5,51,0.0,1012,23,10,99,8
